2017-06-19 03:47:02 status unpacked libseccomp2:armhf 2.2.3-3ubuntu3
2017-06-19 03:47:02 status unpacked libseccomp2:armhf 2.2.3-3ubuntu3
2017-06-19 03:47:02 install libselinux1:armhf <none> 2.4-3build2
2017-06-19 03:47:02 status half-installed libselinux1:armhf 2.4-3build2
2017-06-19 03:47:03 status unpacked libselinux1:armhf 2.4-3build2
2017-06-19 03:47:03 status unpacked libselinux1:armhf 2.4-3build2
2017-06-19 03:47:03 install libsemanage-common:all <none> 2.3-1build3
2017-06-19 03:47:03 status half-installed libsemanage-common:all 2.3-1build3
2017-06-19 03:47:03 status unpacked libsemanage-common:all 2.3-1build3
2017-06-19 03:47:03 status unpacked libsemanage-common:all 2.3-1build3
2017-06-19 03:47:03 install libsemanage1:armhf <none> 2.3-1build3
2017-06-19 03:47:03 status half-installed libsemanage1:armhf 2.3-1build3
2017-06-19 03:47:03 status unpacked libsemanage1:armhf 2.3-1build3
2017-06-19 03:47:03 status unpacked libsemanage1:armhf 2.3-1build3
2017-06-19 03:47:03 install libsepol1:armhf <none> 2.4-2
2017-06-19 03:47:03 status half-installed libsepol1:armhf 2.4-2
2017-06-19 03:47:03 status unpacked libsepol1:armhf 2.4-2
2017-06-19 03:47:03 status unpacked libsepol1:armhf 2.4-2
2017-06-19 03:47:03 install libsmartcols1:armhf <none> 2.27.1-6ubuntu3
2017-06-19 03:47:03 status half-installed libsmartcols1:armhf 2.27.1-6ubuntu3
2017-06-19 03:47:04 status unpacked libsmartcols1:armhf 2.27.1-6ubuntu3
2017-06-19 03:47:04 status unpacked libsmartcols1:armhf 2.27.1-6ubuntu3
2017-06-19 03:47:04 install libss2:armhf <none> 1.42.13-1ubuntu1
2017-06-19 03:47:04 status half-installed libss2:armhf 1.42.13-1ubuntu1
2017-06-19 03:47:04 status unpacked libss2:armhf 1.42.13-1ubuntu1
2017-06-19 03:47:04 status unpacked libss2:armhf 1.42.13-1ubuntu1
2017-06-19 03:47:04 install libsystemd0:armhf <none> 229-4ubuntu4
2017-06-19 03:47:04 status half-installed libsystemd0:armhf 229-4ubuntu4
2017-06-19 03:47:04 status unpacked libsystemd0:armhf 229-4ubuntu4
2017-06-19 03:47:04 status unpacked libsystemd0:armhf 229-4ubuntu4
2017-06-19 03:47:04 install libtinfo5:armhf <none> 6.0+20160213-1ubuntu1
2017-06-19 03:47:04 status half-installed libtinfo5:armhf 6.0+20160213-1ubuntu1
2017-06-19 03:47:05 status unpacked libtinfo5:armhf 6.0+20160213-1ubuntu1
2017-06-19 03:47:05 status unpacked libtinfo5:armhf 6.0+20160213-1ubuntu1
2017-06-19 03:47:05 install libudev1:armhf <none> 229-4ubuntu4
2017-06-19 03:47:05 status half-installed libudev1:armhf 229-4ubuntu4
2017-06-19 03:47:05 status unpacked libudev1:armhf 229-4ubuntu4
2017-06-19 03:47:05 status unpacked libudev1:armhf 229-4ubuntu4
2017-06-19 03:47:05 install libustr-1.0-1:armhf <none> 1.0.4-5
2017-06-19 03:47:05 status half-installed libustr-1.0-1:armhf 1.0.4-5
2017-06-19 03:47:05 status unpacked libustr-1.0-1:armhf 1.0.4-5
2017-06-19 03:47:05 status unpacked libustr-1.0-1:armhf 1.0.4-5
2017-06-19 03:47:05 install libuuid1:armhf <none> 2.27.1-6ubuntu3
2017-06-19 03:47:05 status half-installed libuuid1:armhf 2.27.1-6ubuntu3
2017-06-19 03:47:05 status unpacked libuuid1:armhf 2.27.1-6ubuntu3
2017-06-19 03:47:05 status unpacked libuuid1:armhf 2.27.1-6ubuntu3
